SEGMENTID,PROJID,SSSTAT,SSTYPE,Location
2523048,RR148,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-89.96644234984372 30.02476471580693)
2522313,RR138,Complete,Sewer Line Repair (SSERP),POINT (-90.00503545757795 30.025006507877023)
2522868,RR153,Complete,Water Line Replacement (FEMA)/Sewer Line Repair (SSERP),POINT (-89.97496424559395 30.023944559127138)
2527243,RR152,Complete,Sewer Line Repair (SSERP),POINT (-89.9757194030489 30.02383148334701)
2522864,RR153,Complete,Water Line Replacement (FEMA)/Sewer Line Repair (SSERP),POINT (-89.97723036217654 30.023616255808616)
2523091,RR148,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-89.96630743074809 30.023394823051422)
2523290,RR144,Complete,Sewer Line Replacement (ESSA),POINT (-89.95766678839335 30.02306313227838)
2522773,RR149,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",POINT (-89.95848275072572 30.02291035880102)
2526652,RR147,Complete,Water Line Replacement (SWB),POINT (-89.9624956439735 30.021513362770975)
2527249,RR153,Complete,Water Line Replacement (SWB)/Sewer Line Repair (SSERP),POINT (-89.97081411301839 30.021101777540526)
2523367,DPW144,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-89.95207484299743 30.02287696651834)
2523298,RR149,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-89.95504224654411 30.027835681683282)
2523323,RR149,Complete,Sewer Line Repair (SSERP),POINT (-89.95545493919074 30.023703090391855)
2523320,RR149,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-89.95568027211657 30.025908288445553)
2523254,RR149,Complete,Sewer Line Repair (SSERP),POINT (-89.95595923630016 30.027829228934205)
2523366,DPW144,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-89.95615894223724 30.021767192763694)
2518952,RR144,Complete,Sewer Line Repair (ESSA),POINT (-89.95711569006833 30.03190442948039)
2518725,DPW144,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-89.9568375033075 30.021598639431517)
2523252,RR144,Complete,Sewer Line Repair (ESSA),POINT (-89.95696114919068 30.027819244390123)
2518829,RR144,Complete,Sewer Line Repair (ESSA),POINT (-89.96726212916874 30.022287313584837)
2518828,RR144,Complete,Sewer Line Repair (SSERP),POINT (-89.96733144330031 30.022972927896063)
2518827,RR148,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",POINT (-89.96739953638567 30.023657473477304)
2522337,RR139,Complete,Sewer Line Repair (SSERP),POINT (-89.9988941458241 30.026714301257705)
2527174,RR138,Complete,Sewer Line Repair (SSERP),POINT (-90.00096606420614 30.02276799282224)
2520657,RR138,Complete,Sewer Line Repair (SSERP),POINT (-90.01134667102134 30.022317845311548)
2520804,,Complete,Sewer Line Repair (SSERP),POINT (-90.01287236300901 30.022160094329013)
2526650,RR147,Complete,Water Line Replacement (SWB),POINT (-89.963896965049 30.02095307168429)
2523032,RR152,Complete,Sewer Line Repair (SSERP),POINT (-89.97000365765999 30.02117078301531)
2527248,RR153,Complete,Water Line Replacement (FEMA)/Sewer Line Repair (SSERP),POINT (-89.97253962382169 30.020960252197376)
2527247,RR153,Complete,Water Line Replacement (FEMA),POINT (-89.97335221635258 30.020890070455593)
2522874,RR153,Complete,Water Line Replacement (SWB)/Sewer Line Repair (SSERP),POINT (-89.97698591939265 30.02122158880822)
2522110,RR152,Complete,Sewer Line Repair (SSERP),POINT (-89.98515134243871 30.019692125120024)
2522108,RR153,Complete,Water Line Replacement (FEMA)/Sewer Line Repair (SSERP),POINT (-89.98590686267443 30.01963512917302)
